Potencia DC,Eficiencia
37.13,3.2318879612173443
74.86,8.950040074806305
75.54,1.985702938840349
76.44,0.5232862375719519
91.94,17.511420491624975
97.26000000000002,20.769072588936865
97.44,10.878489326765187
97.64,24.580090126997128
98.82000000000002,30.5606152600688
98.86,17.196034796682177
99.2,6.350806451612903
99.42,1.508750754375377
99.5,1.9095477386934672
99.54,0.6027727546714888
99.92,40.732586068855085
101.02,14.0566224509998
101.04,20.58590657165479
101.24,11.359146582378504
101.44,2.4645110410094637
101.66,13.673027739523905
101.70000000000002,6.293018682399213
101.98000000000002,12.45342223965483
102.1,17.140058765915768
102.1,18.903036238981397
102.12,11.555033294163728
102.18,4.403992953611273
102.32,5.961688819390147
102.54,12.190364735712892
102.62,8.770220229974663
102.62,7.893198206977196
102.76000000000002,3.892565200467107
102.82000000000002,10.698307722233029
102.92000000000002,14.477263894286825
103.04,12.907608695652172
103.2,3.003875968992248
103.52,14.103554868624418
103.54000000000002,27.718756036314463
103.56,5.310930861336424
103.64,37.91972211501351
103.72,23.139220979560356
103.78,25.631142802081325
104.02,21.822726398769465
104.6,23.32695984703633
104.7,24.35530085959885
104.86,42.05607476635513
105.02,0.5713197486193107
105.1,27.68791627021884
105.46,17.826664138061822
105.66,17.508991103539653
106.26,15.433841520798042
120.44,18.515443374294254
120.54,30.861124937779994
120.54,25.55168408826945
120.82,25.575235888098
120.9,14.55748552522746
120.95,16.039685820587017
121.44,26.18577075098814
122.03,23.109071539785297
122.59,38.50232482257933
122.65,20.464737056665307
123.4,11.750405186385738
123.45,23.24827865532604
124.07,23.212702506649475
124.14,21.427420654100207
124.29,9.49392549682195
124.34,5.388451021392955
124.37,37.87086918067058
124.4,25.723472668810288
124.49,13.093421158325972
124.68,14.116137311517488
124.92,29.77905859750241
124.98,32.56521043366939
125.02,9.43848984162534
125.06,21.18982888213657
125.17,14.300551250299591
125.25,24.191616766467067
125.28,11.733716475095784
125.41,22.964675863168804
125.47,9.643739539332111
125.49,20.639094748585546
125.5,14.9800796812749
125.57,22.69650394202437
125.57999999999998,16.32425545469024
125.64,12.09805794333015
125.69,23.78868645079163
125.71,26.966828414605043
125.76,8.985368956743004
125.77,5.088653892025126
125.78,30.211480362537763
125.79,18.04594959853724
125.79999999999998,24.0858505564388
125.87,14.459362834670692
126.04,17.29609647730879
126.04,16.502697556331324
126.14,27.826224829554462
126.23,22.73627505347382
126.25,17.663366336633665
126.25,30.33663366336633
126.35,15.59161060546102
126.52,20.15491621877964
126.62,23.45601010898752
126.64,15.319014529374602
126.84,20.498265531378117
126.9,17.651694247438925
126.92,17.64891270091396
126.93,10.478216339714804
126.95,29.224103977944072
126.98,4.803906126949125
127.0,21.25984251968504
127.0,25.196850393700785
127.02,4.330026767438199
127.02,15.43064084396158
127.14,24.775837659273243
127.25,13.831041257367389
127.27,13.51457531232812
127.29,11.62699347945636
127.29,28.67467986487549
127.37,15.388238988772867
127.38,17.035641387972994
127.4,22.998430141287287
127.43,20.16793533704779
127.51,17.253548741275193
127.53,21.79879244099428
127.53,15.21210695522622
127.59,22.49392585625833
127.63,22.565227611063232
127.68,7.675438596491229
127.7,4.776820673453407
127.99,10.938354558949918
128.0,22.5
128.13,22.867400296573795
128.15,26.84354272337105
128.17,28.24373878442693
128.25,22.22222222222222
128.39,5.763688760806916
128.51,33.46043109485643
128.58999999999995,11.120615911035076
128.62,9.874047582024566
128.89,21.18085188920785
128.89,22.034292807820623
128.97,21.167713421725985
129.01999999999998,14.02883273911022
129.09,31.99318305058486
129.09,11.000077465334265
129.18,26.629509211952318
129.35,17.31735601082335
129.38,18.85917452465605
129.39999999999998,26.352395672333856
129.53,32.656527445379446
129.54000000000002,23.853635942566
129.57999999999998,17.9039975304831
129.61,24.68945297430753
129.68,17.04194941394201
129.73000000000002,23.741617204964157
129.74,17.265299830430088
129.83999999999995,25.878003696857675
129.99,18.155242710977767
130.01999999999998,12.07506537455776
130.03,12.535568714911944
130.07,16.913969401091723
130.13,12.064858218704371
130.22,15.819382583320534
130.28,6.524408965305496
130.64,19.672382118799757
130.91,18.33320601940264
130.92000000000002,24.442407577146348
131.0,27.480916030534356
131.04000000000002,2.976190476190476
131.09,31.27622244259669
131.16,18.90820372064654
131.44,26.399878271454657
131.54000000000002,11.099285388474986
131.64999999999998,15.191796429927845
131.69,17.237451590857315
133.4,33.583208395802096
147.71999999999997,21.45951800704035
148.14,19.37356554610504
148.62,19.580137262817924
149.45999999999998,18.867924528301888
149.67000000000002,19.442774103026657
150.69,27.20817572499834
150.95999999999998,39.28192898781134
151.01999999999998,11.985167527479806
152.37,9.581938701844194
152.82,23.884308336605155
152.84999999999997,31.468760222440302
152.88,14.455782312925171
153.03,24.30895902764164
153.20999999999998,4.829971933946871
153.24,20.294962150874447
153.32999999999998,23.8048653231592
153.54,13.612088055229906
153.54,15.761365116582
153.57,24.744416227127694
153.63,20.11325912907635
153.63,19.26707023367832
153.75,35.12195121951219
153.78,16.452074391988557
153.93,19.22951991164815
154.05,30.05517689061992
154.23,17.89535109900798
154.32,14.061689994815968
154.32,25.85536547433904
154.38,13.149371680269468
154.41,27.97746259957257
154.5,21.10032362459547
154.62,19.40240589833139
154.70999999999998,10.148018874022366
154.89,13.42888501517206
154.92,29.111799638523117
155.07,5.868317534016896
155.07,23.408783130199264
155.16,18.754833720030938
155.19,15.336039693279208
155.19,45.55705908885882
155.25,10.177133655394526
155.28,17.387944358578054
155.31,14.165217951194386
155.33999999999995,27.16621604222995
155.43,28.179888052499518
155.49,27.97607563187343
155.67,28.521873193293505
155.73000000000002,11.108970654337636
155.76,20.159219311761685
155.96999999999997,18.40097454638713
155.97,29.877540552670386
156.12,33.30771201639764
156.14999999999998,12.808197246237594
156.15,31.3800832532821
156.20999999999998,24.518276678829785
156.20999999999998,13.571474297420142
156.3,42.29046705054382
156.36,27.244819646968534
156.36,29.93092862624712
156.36,27.94832437963674
156.6,24.712643678160923
156.60000000000002,19.731800766283524
156.63,44.30824235459364
156.66,35.61853695901953
156.66,15.000638325035109
156.72,38.922919857069935
156.75,1.2121212121212122
156.89999999999998,20.458891013384324
157.07999999999998,19.416857652151773
157.14,29.845997199949093
157.23000000000002,23.468803663423007
157.26,22.31972529568867
157.26,42.09589215312222
157.29,25.557886706084304
157.29000000000002,23.65058172801831
157.32,36.231884057971016
157.38,52.73859448468675
157.41,16.70796010418652
157.41,22.044342799059784
157.5,46.22222222222222
157.68,20.357686453576864
157.76999999999998,21.23344108512392
157.86,35.7912073989611
157.86,22.614975294564804
157.89,13.997086579264046
157.95,13.04210193099082
158.01,42.84538953230809
158.07,28.721452521034983
158.07,23.47061428481053
158.10000000000002,6.8943706514864
158.16,37.74658573596359
158.27999999999997,24.26080363912055
158.37,44.768579907810825
158.39999999999998,38.88888888888889
158.39999999999998,20.77020202020202
158.4,23.61111111111111
158.45999999999998,42.660608355420926
158.54999999999998,34.62630085146642
158.61,43.56597944644095
158.61,20.04917722716096
158.64,25.907715582450837
158.64,30.257186081694403
158.73,16.758016758016762
158.76,27.52582514487277
158.82,14.985518196700667
158.85,30.97261567516525
158.85,12.338684293358517
158.85,20.963172804532576
158.85,19.20050361976708
158.85,45.26282656594272
159.03,20.499276866000127
159.12,22.812971342383104
159.20999999999998,15.45129074806859
159.24,22.418990203466464
159.51,44.135163939564926
159.52,88.6409227683049
159.53999999999996,22.18879277924032
159.54000000000002,22.12611257364924
159.63,22.36421725239617
159.72000000000003,37.62834961182068
160.17,18.105762627208595
160.23,10.984210197840609
160.44,35.90127150336574
160.5,34.76635514018692
160.68,17.674881752551656
160.98000000000002,34.849049571375325
161.04,33.22155986090413
164.07,41.01907722313647
170.8,36.82669789227166
172.15,25.96572756317165
172.63,44.43028442333314
174.32,16.521340064249657
175.02,50.22283167637984
178.01,42.2448177068704
178.32,48.11574697173621
179.45,34.66146558930065
179.75,48.400556328233655
180.07999999999998,31.54153709462461
180.11,41.863305757592585
180.32,38.81987577639752
