P_dc,P_ac_real,Eff_real,Eff_est,P_ac_est,Error
37.13,1.2000000000000002,3.2318879612173443,-163.18513659069484,-60.590641216125,-61.790641216125
74.86,6.7,8.950040074806305,-32.15693195899012,-24.072679264500003,-30.772679264500002
75.54,1.4999999999999998,1.985702938840349,-30.996235404421505,-23.414556224500007,-24.914556224500007
76.44,0.4,0.5232862375719519,-29.4917749895343,-22.543512802000016,-22.943512802000015
91.94,16.1,17.511420491624975,-8.20374936317165,-7.542527164500013,-23.642527164500017
97.26000000000002,20.2,20.769072588936865,-2.4613820938720883,-2.3939402244999934,-22.593940224499992
97.44,10.6,10.878489326765187,-2.2780594745484555,-2.2197411520000148,-12.819741152000015
97.64,23.999999999999996,24.580090126997128,-2.075160510036886,-2.0261867220000154,-26.026186722000013
98.82000000000002,30.199999999999996,30.5606152600688,-0.8947759770289365,-0.8842176204999952,-31.08421762049999
98.86,17.0,17.196034796682177,-0.8552567919279921,-0.8455068645000129,-17.845506864500013
99.2,6.3,6.350806451612903,-0.520630645161305,-0.5164656000000145,-6.816465600000014
99.42,1.5,1.508750754375377,-0.3053276005833953,-0.30355670050001166,-1.8035567005000117
99.5,1.9,1.9095477386934672,-0.22727167085428868,-0.22613531250001723,-2.126135312500017
99.54,0.6000000000000001,0.6027727546714888,-0.18829076200523195,-0.18742462450000788,-0.7874246245000079
99.92,40.7,40.732586068855085,0.18047108887108687,0.18032671199999,-40.519673288000014
101.02,14.199999999999998,14.0566224509998,1.2322985740447272,1.2448680194999835,-12.955131980500013
101.04,20.8,20.58590657165479,1.2512106967537606,1.2642232879999997,-19.535776712
101.24,11.499999999999996,11.359146582378504,1.4399208988541923,1.457775917999984,-10.042224082000013
101.44,2.5000000000000004,2.464511041009464,1.6278868769715902,1.651328447999981,-0.8486715520000194
101.66,13.9,13.673027739523905,1.8337951165650044,1.8642361154999834,-12.035763884500017
101.70000000000002,6.4,6.293018682399213,1.871137254178968,1.9029465875000107,-4.49705341249999
101.98000000000002,12.7,12.45342223965483,2.1317118841929843,2.1739197795000056,-10.526080220499994
102.1,17.499999999999996,17.140058765915768,2.242949155239949,2.290051087499988,-15.209948912500009
102.1,19.300000000000008,18.9030362389814,2.242949155239949,2.290051087499988,-17.00994891250002
102.12,11.799999999999999,11.555033294163728,2.261463280454352,2.3094063019999846,-9.490593698000014
102.18,4.499999999999999,4.403992953611273,2.3169621643178684,2.3674719394999983,-2.1325280605000008
102.32,6.099999999999998,5.961688819390147,2.4462064034401676,2.502958391999979,-3.5970416080000187
102.54,12.500000000000002,12.190364735712892,2.6485913550809355,2.7158655754999916,-9.78413442450001
102.62,9.0,8.770220229974663,2.7219707069771886,2.793286339499991,-6.206713660500009
102.62,8.1,7.893198206977196,2.7219707069771886,2.793286339499991,-5.306713660500009
102.76000000000002,4.0,3.892565200467107,2.8501096126897623,2.928772638,-1.0712273620000001
102.82000000000002,11.000000000000002,10.698307722233029,2.904919450982299,2.9868381795000003,-8.013161820500002
102.92000000000002,14.900000000000002,14.477263894286825,2.9961271492421324,3.083614062000003,-11.816385938
103.04,13.299999999999999,12.907608695652172,3.105342670807441,3.1997450879999874,-10.100254912000011
103.2,3.1,3.003875968992248,3.250568217054253,3.3545863999999894,0.25458639999998933
103.52,14.599999999999998,14.103554868624418,3.539672364760421,3.664268831999988,-10.93573116800001
103.54000000000002,28.7,27.718756036314463,3.5576820315819986,3.683623975500002,-25.016376024499998
103.56,5.500000000000001,5.310930861336424,3.5756847412128128,3.7029791179999885,-1.7970208820000124
103.64,39.300000000000004,37.91972211501351,3.6476260883828555,3.7803996779999913,-35.51960032200002
103.72,24.000000000000004,23.13922097956036,3.7194564423447587,3.857820221999984,-20.14217977800002
103.78,26.599999999999998,25.631142802081325,3.7732565229331136,3.915885619499985,-22.684114380500013
104.02,22.699999999999996,21.822726398769465,3.9878361079599918,4.148147119499983,-18.551852880500014
104.6,24.400000000000002,23.32695984703633,4.502337619502854,4.7094451499999845,-19.69055485000002
104.7,25.499999999999996,24.35530085959885,4.590468564947455,4.806220587499985,-20.69377941250001
104.86,44.099999999999994,42.05607476635513,4.731128395479676,4.961061235499988,-39.138938764500004
105.02,0.6,0.5713197486193107,4.871359569129676,5.115901819499985,4.515901819499986
105.1,29.099999999999998,27.68791627021884,4.941315021408172,5.193322087499988,-23.906677912500008
105.46,18.799999999999997,17.826664138061822,5.25480096292432,5.541713095499987,-13.258286904500011
105.66,18.499999999999996,17.508991103539653,5.4280366415862105,5.73526351549999,-12.764736484500006
106.26,16.4,15.433841520798042,5.943830392904192,6.315914175499994,-10.084085824500004
120.44,22.3,18.515443374294254,16.63763101793423,20.038362797999984,-2.261637202000017
120.54,37.2,30.861124937779994,16.704110067612405,20.135134275499993,-17.06486572450001
120.54,30.799999999999997,25.55168408826945,16.704110067612405,20.135134275499993,-10.664865724500004
120.82,30.900000000000006,25.575235888098,16.889665849610974,20.40609427949998,-10.493905720500027
120.9,17.599999999999998,14.55748552522746,16.942523893713798,20.483511387499984,2.8835113874999863
120.95,19.4,16.039685820587017,16.97552465636626,20.531897071874994,1.1318970718749952
121.44,31.799999999999997,26.18577075098814,17.297493781291152,21.006076447999973,-10.793923552000024
122.03,28.2,23.109071539785297,17.681739186163227,21.57702632887499,-6.62297367112501
122.59,47.2,38.50232482257933,18.043024761297808,22.118944054874984,-25.08105594512502
122.65,25.099999999999998,20.464737056665307,18.08153821596004,22.17700662187499,-2.922993378125007
