Date,Model,MSE,RMSE,MAE,MAPE,WAPE,Samples
2021-02-27,Sensor,1273901.5030848817,1128.6724516372683,904.181661249935,41.33500890780083,43.47646931186226,745
2021-02-27,Faiman,1368271.486046132,1169.7313734555178,933.6382170826997,42.328502702998186,44.89285177191565,745
2021-02-27,Ross,1692017.1224423933,1300.775584965521,1024.400125518151,45.159863753840966,49.257027131682435,745
2021-02-27,SAPM,1285269.4288836329,1133.6972386327986,907.6905525075763,41.44364785347075,43.64519005639783,745
2021-02-28,Sensor,1511701.8194830944,1229.5128382750195,1004.5200543349249,41.97483157410306,43.393115082809345,1504
2021-02-28,Faiman,1616019.3463362663,1271.2274959016054,1037.1021416367223,43.045111796153066,44.800591476957706,1504
2021-02-28,Ross,2021545.4831877348,1421.810635488332,1147.5550004975582,46.25942836369842,49.57191843562838,1504
2021-02-28,SAPM,1525767.3037622832,1235.2195366663705,1008.7376882539079,42.097873861215554,43.57530783569048,1504
2021-03-01,Sensor,1215945.7125197032,1102.6992847189588,887.192399005339,42.09787055110311,43.558066019778025,2259
2021-03-01,Faiman,1300548.931251994,1140.4161219712717,916.4061472521496,43.25492297147976,44.99235961409463,2259
2021-03-01,Ross,1606234.6165703093,1267.3731165565684,1005.1250287803862,46.107766648797174,49.34814862123709,2259
2021-03-01,SAPM,1226429.2280097338,1107.4426522442297,890.5139602441534,42.203865179036285,43.721143142498214,2259
2021-03-02,Sensor,1216988.4052197386,1103.1719744535476,892.3923786458337,42.43355145856522,43.746565283291304,3009
2021-03-02,Faiman,1306119.5110394566,1142.8558575076108,923.2061297333103,43.66545122374399,45.257106840825564,3009
2021-03-02,Ross,1606574.6770319375,1267.5072690252855,1010.6047172221712,46.493709046254764,49.54153161264032,3009
2021-03-02,SAPM,1227238.505831227,1107.8079733560446,895.6553561080949,42.538632736212826,43.90652188980931,3009
2021-03-03,Sensor,1324233.50127036,1150.7534493845153,932.6664302502694,42.19605468090795,43.604302715943575,3766
2021-03-03,Faiman,1417415.310947811,1190.5525233889562,964.3408973052684,43.45157682413993,45.085156968907036,3766
2021-03-03,Ross,1764244.9319468439,1328.248821549202,1062.251778804678,46.476699058179435,49.66271608073174,3766
