fator,p_instalada_kwp,energy_total,energy_entregue,clip_kwh,clip_pct,ganho_pct,aumento_pct
0.0,5.13,429.67848044461607,429.6694536888803,0.009026755735699166,0.002100816342107382,0.0,0.0
0.05,5.3865,451.9569934183982,451.87576443923314,0.08122897916511647,0.017972723145788103,5.168231197191926,5.0
0.1,5.643000000000001,474.2282393928864,473.85329269537374,0.3749466975126893,0.07906460779153542,10.28321623218916,10.0
0.15,5.899499999999999,496.4914966670545,495.4331190173259,1.0583776497285955,0.21317135476306856,15.305641293286923,15.0
0.2,6.156,518.7468367076323,515.5325589752753,3.2142777323570364,0.6196235822385585,19.983525603048253,20.0
0.25,6.4125,540.9933730371595,532.5701917403667,8.423181296792794,1.556984191784957,23.948813947103588,25.0
0.3,6.669,563.2309783309246,547.584879794326,15.646098536598759,2.777918676093477,27.443288112081415,30.0
0.35,6.925500000000001,585.4596782997453,561.0766660327658,24.383012266979378,4.164763718278767,30.5833266050689,35.0
0.4,7.1819999999999995,607.6795140418227,573.4280828627299,34.251431179092805,5.636430122726747,33.4579588890077,40.0
0.45,7.4385,629.8902303448704,584.8205020023531,45.06972834251725,7.155171833327401,36.109396882054426,45.0
0.5,7.695,652.0918106171807,595.4167061950355,56.67510442214518,8.691276826265353,38.57552615927203,50.0
0.55,7.9515,674.284320953086,605.2695242205463,69.01479673253966,10.235266428112814,40.868641934880564,55.00000000000001
0.6,8.208,696.46752104051,614.3919951444958,82.07552589601421,11.78454463653881,42.991778882510786,60.0
0.65,8.4645,718.6413889946828,622.8636226470996,95.77776634758317,13.32761622338062,44.96344045395171,65.0
0.7,8.721,740.8060098587031,630.792121497184,110.01388836151918,14.85056639625569,46.80869586645895,70.0
0.75,8.9775,762.9611747357488,638.2933920562832,124.66778267946566,16.33999039631922,48.55451942796603,75.0
0.8,9.234,785.1067441938972,645.3461140424916,139.76063015140576,17.801481287096063,50.19594911901296,80.0
0.85,9.4905,807.2429088421724,652.0451310940932,155.19777774807918,19.225660089189162,51.75505856793653,85.0
0.9,9.747,829.3695699295541,658.4264924017879,170.94307752776635,20.611206840189,53.24023775694058,90.0
0.95,10.0035,851.4869469941228,664.4754170897108,187.0115299044121,21.962935611002727,54.648046628618694,95.0
1.0,10.26,873.594911392992,670.1926359654776,203.40227542751447,23.28336312114949,55.97865526897752,100.0
